model,task,evaluation_unit,split,evaluation_img_size,precision,recall,f1,accuracy,mAP50,mAP50_95,class0_name,class0_AP50,class0_AP50_95,class1_name,class1_AP50,class1_AP50_95,model_size_mb,median_end_to_end_latency_ms,p95_end_to_end_latency_ms,median_end_to_end_fps,benchmark_images,parameters,validation_rank,selected_detector,matched_correct_test,matched_wrong_class_test,missed_objects_test,false_positives_test
YOLOv8n,object detection,full images with IoU matching,val,1024,0.681088,0.759454,0.718139,,0.758885,0.42877,rock_completely_exposed,0.957046,0.590073,rock_half_buried,0.560724,0.267467,6.005045,117.279311,133.811848,8.526653,50,3006038,1,Yes,,,,
YOLOv8n,object detection,full images with IoU matching,test,1024,0.749056,0.640291,0.690416,,0.631527,0.338385,rock_completely_exposed,0.959524,0.539005,rock_half_buried,0.303529,0.137766,6.005045,117.279311,133.811848,8.526653,50,3006038,1,Yes,87,4,44,28
YOLO11n,object detection,full images with IoU matching,val,1024,0.74281,0.718992,0.730707,,0.729276,0.400241,rock_completely_exposed,0.96291,0.544146,rock_half_buried,0.495642,0.256336,5.263514,119.813633,135.72582,8.346296,50,2582542,3,No,,,,
YOLO11n,object detection,full images with IoU matching,test,1024,0.651271,0.644127,0.647679,,0.63795,0.342011,rock_completely_exposed,0.96454,0.557738,rock_half_buried,0.311361,0.126284,5.263514,119.813633,135.72582,8.346296,50,2582542,3,No,85,10,40,37
YOLO11s,object detection,full images with IoU matching,val,1024,0.764165,0.800935,0.782118,,0.782533,0.410727,rock_completely_exposed,0.970634,0.531453,rock_half_buried,0.594432,0.290002,18.334192,119.934922,136.615952,8.337855,50,9413574,2,No,,,,
YOLO11s,object detection,full images with IoU matching,test,1024,0.709093,0.638669,0.672041,,0.634465,0.310404,rock_completely_exposed,0.958167,0.49281,rock_half_buried,0.310763,0.127999,18.334192,119.934922,136.615952,8.337855,50,9413574,2,No,86,9,40,31
OpenAI CLIP ViT-B/32 zero-shot,crop classification,ground-truth rock crops,test,,0.473956,0.47892,0.450433,0.474074,,,rock_completely_exposed,,,rock_half_buried,,,,,,,,,,No,,,,
OpenAI CLIP ViT-B/32 linear probe,crop classification,ground-truth rock crops,test,,0.906193,0.894598,0.895326,0.896296,,,rock_completely_exposed,,,rock_half_buried,,,,,,,,,,No,,,,
