format_key,display_name,status,path,size_bytes,size_mb,error
pytorch_fp32,PyTorch FP32,success,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,6296746,6.005044937133789,
onnx_fp32,ONNX FP32,success,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/02_selected_model/02_onnx_fp32/02_yolov8n_ONNX_FP32.onnx,12266116,11.697879791259766,
tflite_fp32,LiteRT/TFLite FP32,success,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,12256985,11.68917179107666,
tflite_int8,LiteRT/TFLite INT8,success,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,3329171,3.1749448776245117,
ncnn_fp32,NCNN FP32,success,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,12192864,11.628021240234375,
ncnn_fp16,NCNN FP16,success,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/02_selected_model/06_ncnn_fp16/06_yolov8n_FP16_ncnn_model,6191584,5.904754638671875,
